"qPCR_tag","Target","Ct","SD","Median","Calibration","Cage","Bee_exp","Extraction","Sample_ID","diet","Condition"
"AGJ17BE8","Actin",21.9243036905924,0.0623641743504802,21.9546585083008,"C2019","E","B","J","J17BE8","S","Sn/Gi"
"AGJ18BE9","Actin",22.1959902445475,0.102819814355878,22.2487392425537,"C2019","E","B","J","J18BE9","S","Sn/Gi"
"AGJ19BF1","Actin",22.0456695556641,0.0931587746432075,22.045783996582,"C2019","F","B","J","J19BF1","P","Sn/Gi (P)"
"AGJ20BF2","Actin",22.3352489471436,0.133499030018228,22.265100479126,"C2019","F","B","J","J20BF2","P","Sn/Gi (P)"
"AGJ21BF4","Actin",22.0079186757406,0.355251808843332,21.831615447998,"C2019","F","B","J","J21BF4","P","Sn/Gi (P)"
"AGJ22BF5","Actin",22.4070930480957,0.156693782862943,22.4338264465332,"C2019","F","B","J","J22BF5","P","Sn/Gi (P)"
"AGJ9AF5","Actin",21.609162012736,0.224139812952405,21.4875068664551,"C2019","F","A","J","J9AF5","P","Sn/Gi (P)"
"AGJ10AF6","Ga",21.7055110931396,0.456403959803085,21.6533679962158,"C2019","F","A","J","J10AF6","P","Sn/Gi (P)"
"AGJ11AF9","Ga",22.5903237660726,0.0671326900476104,22.5716114044189,"C2019","F","A","J","J11AF9","P","Sn/Gi (P)"
"AGJ12AF10","Ga",22.8047033945719,0.183336489755964,22.8077754974365,"C2019","F","A","J","J12AF10","P","Sn/Gi (P)"
"AGJ13BE2","Ga",22.4538974761963,0.140204036424595,22.4860992431641,"C2019","E","B","J","J13BE2","S","Sn/Gi"
"AGJ14BE3","Ga",21.1229108174642,0.173888553787594,21.1019172668457,"C2019","E","B","J","J14BE3","S","Sn/Gi"
"AGJ15BE4","Ga",22.5103232065837,0.109057223935128,22.5526580810547,"C2019","E","B","J","J15BE4","S","Sn/Gi"
"AGJ16BE10","Ga",21.1729888916016,0.149926786614615,21.1284961700439,"C2019","E","B","J","J16BE10","S","Sn/Gi"
"AGJ17BE8","Ga",19.8502451578776,0.0448566681896633,19.848014831543,"C2019","E","B","J","J17BE8","S","Sn/Gi"
"AGJ18BE9","Ga",20.7154630025228,0.0716726074161289,20.6814479827881,"C2019","E","B","J","J18BE9","S","Sn/Gi"
"AGJ19BF1","Ga",19.8920402526855,0.0965874552702845,19.8780212402344,"C2019","F","B","J","J19BF1","P","Sn/Gi (P)"
"AGJ20BF2","Ga",22.6344076792399,0.128838506539523,22.5714111328125,"C2019","F","B","J","J20BF2","P","Sn/Gi (P)"
"AGJ21BF4","Ga",20.3237247467041,0.165772220916474,20.2364330291748,"C2019","F","B","J","J21BF4","P","Sn/Gi (P)"
"AGJ22BF5","Ga",23.0640150705973,0.100229469022332,23.0273342132568,"C2019","F","B","J","J22BF5","P","Sn/Gi (P)"
"AGJ9AF5","Ga",18.4193744659424,0.014726176215729,18.4180698394775,"C2019","F","A","J","J9AF5","P","Sn/Gi (P)"
"AHJ23BF6","Actin",25.1183999379476,0.0479390026916113,25.1336479187012,"C2019","F","B","J","J23BF6","P","Sn/Gi (P)"
"AHJ24BF10","Actin",22.0745906829834,0.0764046951407983,22.046781539917,"C2019","F","B","J","J24BF10","P","Sn/Gi (P)"
"AHK10EF9","Actin",21.1712767283122,0.103419507007193,21.169412612915,"C2019","F","E","K","K10EF9","P","Sn/Gi (P)"
"AHK11EG2","Actin",21.9230874379476,0.0623892661470523,21.9295024871826,"C2019","G","E","K","K11EG2","S","Gi"
"AHK12EG8","Actin",21.8007615407308,0.122558116857494,21.8530464172363,"C2019","G","E","K","K12EG8","S","Gi"
"AHK1CE3","Actin",21.6379280090332,0.0944124661174296,21.6689014434814,"C2019","E","C","K","K1CE3","S","Sn/Gi"
"AHK2CE6","Actin",21.3042055765788,0.082809884075065,21.2602920532227,"C2019","E","C","K","K2CE6","S","Sn/Gi"
"AHK3CE10","Actin",21.6096420288086,0.82879968923922,21.2105503082275,"C2019","E","C","K","K3CE10","S","Sn/Gi"
"AHK4CF3","Actin",20.9205799102783,0.067768108921925,20.9524116516113,"C2019","F","C","K","K4CF3","P","Sn/Gi (P)"
"AHK5CF6","Actin",21.2398268381755,0.132710225045581,21.1937808990479,"C2019","F","C","K","K5CF6","P","Sn/Gi (P)"
"AHK6CF9","Actin",20.9569180806478,0.00583469429830081,20.9553680419922,"C2019","F","C","K","K6CF9","P","Sn/Gi (P)"
"AHK7CE2","Actin",21.687541325887,0.0553610875562478,21.6746196746826,"C2019","E","C","K","K7CE2","S","Sn/Gi"
"AHK8EE8","Actin",21.529701868693,0.0488836521957321,21.5095520019531,"C2019","E","E","K","K8EE8","S","Sn/Gi"
"AHK9EF1","Actin",20.9955291748047,0.0478423994232466,20.9795246124268,"C2019","F","E","K","K9EF1","P","Sn/Gi (P)"
"AHJ23BF6","Ga",25.3838405609131,0.00887698905688904,25.3889141082764,"C2019","F","B","J","J23BF6","P","Sn/Gi (P)"
"AHJ24BF10","Ga",21.8937721252441,0.0233034956401774,21.8939418792725,"C2019","F","B","J","J24BF10","P","Sn/Gi (P)"
"AHK10EF9","Ga",17.2350826263428,0.553257747585396,16.9242286682129,"C2019","F","E","K","K10EF9","P","Sn/Gi (P)"
"AHK11EG2","Ga",22.2863985697428,0.247773030589693,22.1849956512451,"C2019","G","E","K","K11EG2","S","Gi"
"AHK12EG8","Ga",21.7840627034505,0.0744610558134598,21.7983341217041,"C2019","G","E","K","K12EG8","S","Gi"
"AHK1CE3","Ga",20.6961415608724,0.144468132737191,20.6479759216309,"C2019","E","C","K","K1CE3","S","Sn/Gi"
"AHK2CE6","Ga",19.9148667653402,0.0779533113063126,19.8835163116455,"C2019","E","C","K","K2CE6","S","Sn/Gi"
"AHK3CE10","Ga",19.3155269622803,0.0936719519198806,19.2667942047119,"C2019","E","C","K","K3CE10","S","Sn/Gi"
"AHK4CF3","Ga",20.4215844472249,0.0748021433823943,20.4473171234131,"C2019","F","C","K","K4CF3","P","Sn/Gi (P)"
"AHK5CF6","Ga",21.3676331837972,0.031058117551631,21.3515758514404,"C2019","F","C","K","K5CF6","P","Sn/Gi (P)"
"AHK6CF9","Ga",23.216895421346,0.190706397243457,23.1201953887939,"C2019","F","C","K","K6CF9","P","Sn/Gi (P)"
"AHK7CE2","Ga",20.0247313181559,0.0576880168651541,20.0020904541016,"C2019","E","C","K","K7CE2","S","Sn/Gi"
"AHK8EE8","Ga",19.9274667104085,0.129550972257997,19.9089469909668,"C2019","E","E","K","K8EE8","S","Sn/Gi"
"AHK9EF1","Ga",20.2588036855062,0.0550133402999289,20.2594146728516,"C2019","F","E","K","K9EF1","P","Sn/Gi (P)"
"AIK13EG10","Actin",21.76296043396,0.0304668837538941,21.7496662139893,"C2019","G","E","K","K13EG10","S","Gi"
"AIK14EG11","Actin",21.2805379231771,0.0559379637005876,21.2621974945068,"C2019","G","E","K","K14EG11","S","Gi"
"AIK15EG12","Actin",22.1068267822266,0.246843267410263,22.0083351135254,"C2019","G","E","K","K15EG12","S","Gi"
"AIK16EG15","Actin",23.8462460835775,0.0563232920573864,23.8630905151367,"C2019","G","E","K","K16EG15","S","Gi"
"AIK17EH1","Actin",32.3645706176758,0.303321671065472,32.4766807556152,"C2019","H","E","K","K17EH1","P","Gi (P)"
"AIK18EH5","Actin",21.4391078948975,0.229244892258427,21.378116607666,"C2019","H","E","K","K18EH5","P","Gi (P)"
"AIK19EH7","Actin",21.5211035410563,0.126521991725652,21.5893707275391,"C2019","H","E","K","K19EH7","P","Gi (P)"
"AIK20EH8","Actin",21.490291595459,0.123816823464182,21.5584182739258,"C2019","H","E","K","K20EH8","P","Gi (P)"
"AIK21EH11","Actin",21.4912554423014,0.297632030885189,21.521110534668,"C2019","H","E","K","K21EH11","P","Gi (P)"
"AIK22EH16","Actin",21.3273696899414,0.322731204011539,21.2094020843506,"C2019","H","E","K","K22EH16","P","Gi (P)"
"AIK23FG7","Actin",21.8948249816895,0.063343087925449,21.9018268585205,"C2019","G","F","K","K23FG7","S","Gi"
"AIK24FG8","Actin",22.2007713317871,0.0971315511066077,22.1948547363281,"C2019","G","F","K","K24FG8","S","Gi"
"AIL1FH18","Actin",22.7442754109701,0.0363341756580581,22.7377185821533,"C2019","H","F","L","L1FH18","P","Gi (P)"
"AIL2FH1","Actin",21.5902474721273,0.0408554433477575,21.6099739074707,"C2019","H","F","L","L2FH1","P","Gi (P)"
"AIK13EG10","Ga",16.9917596181234,0.230865492196197,17.0234813690186,"C2019","G","E","K","K13EG10","S","Gi"
"AIK14EG11","Ga",19.9743995666504,0.0329384033087855,19.9888191223145,"C2019","G","E","K","K14EG11","S","Gi"
"AIK15EG12","Ga",21.1258506774902,0.0272086566994808,21.1258506774902,"C2019","G","E","K","K15EG12","S","Gi"
"AIK16EG15","Ga",23.1842676798503,0.169457150765928,23.2741432189941,"C2019","G","E","K","K16EG15","S","Gi"
"AIK17EH1","Ga",32.7529067993164,0.30317565240083,32.7908897399902,"C2019","H","E","K","K17EH1","P","Gi (P)"
"AIK18EH5","Ga",21.7864526112874,0.2737589582117,21.9319934844971,"C2019","H","E","K","K18EH5","P","Gi (P)"
"AIK19EH7","Ga",18.1874548594157,0.13698275614199,18.1625003814697,"C2019","H","E","K","K19EH7","P","Gi (P)"
"AIK20EH8","Ga",21.7914670308431,0.126072252636872,21.8066539764404,"C2019","H","E","K","K20EH8","P","Gi (P)"
