NAME;IMAGEFILE;ROI_NUM;19F ;12C2 ;13C 12C ;14N 12C ;31P ;32S ;SE;13C 12C /12C2;ER-13C 12C /12C2;CHSQ1;TOTNUM1;TOTDEN1;STD1;NPIX;ROIAREA;ROIDIAM;ROIX;ROIY;ROI_XSTG;ROI_YSTG;14N 13C ;14N 13C /14N 12C;ER-14N 13C /14N 12C;CHSQ2;TOTNUM2;TOTDEN2;STD2;Sample;Experiment;Lm_number;Date acquired;Batch;Date Loaded;Type;Time;Label;Tissue;ratio_14N13c;delta_14N13c;atpercent_14N13c
ROI4;ElChazli-Dec-2021_10.im;4;1128.718;15037.44;562.0513;58349.75;2.051282;84.61539;40585.13;0.0373768;0.001149914;0.8783181;2399;113782;1;39;0.3716355;0.6878815;213;198;-14702;14935;1230.256;0.02108418;0.000434983;0.2604313;1096;29323;1;72_13C;Replicate August;Lm_10;91221;B;231221;B3;72;13C;Wkb2;1.79194752368463;873.464686071945;2.06488062455046
ROI4;ElChazli-Dec-2021_11.im;4;952.9032;17028.39;687.7419;53630.32;3.870968;70.96774;46043.23;0.04038797;0.001261743;0.7486604;1811;83127;1;31;0.2954026;0.6132848;92;201;-14664;14953;1168.387;0.02178594;0.0005174842;2.301801;1066;26394;1;72_13C;Replicate August;Lm_11;91221;B;231221;B3;72;13C;Wkb2;1.90198291825013;935.820565129032;2.13214337338288
ROI4;ElChazli-Dec-2021_12.im;4;1043.2;15348.8;612.8;48403.2;01.juin;56;41361.6;0.03992495;0.001471062;1.416232;1380;60504;1;25;0.2382279;0.550746;12;152;-14659;14945;1104;0.02280841;0.0006209443;2.032961;766;19186;1;72_13C;Replicate August;Lm_12;91221;B;231221;B3;72;13C;Wkb2;2.06763477277095;1026.67358561966;2.22997866976925
ROI4;ElChazli-Dec-2021_13.im;4;1251.282;15395.38;341.0256;51420;3.076923;73.33334;40800;0.02215116;0.0008684468;0.76135;1154;100269;1;39;0.3716355;0.6878815;231;132;-11994;14543;591.7949;0.01150904;0.0003407385;0.7977203;665;30021;1;72_12C;Replicate August;Lm_13;101221;C;231221;B3;72;12C;Wkb2;1.04888905090863;22.6520552655811;1.13780903185097
ROI4;ElChazli-Dec-2021_20.im;4;1197.222;11538.33;247.2222;54545.55;1.111111;54.44445;39962.22;0.02142616;0.001026521;1.413715;1103;98182;1;36;0.3430481;0.6608952;185;92;-11954;14575;612.7778;0.01123424;0.0003401589;1.055182;445;20769;1;72_12C;Replicate August;Lm_20;101221;C;241221;B3;72;12C;Wkb2;0.98967619057687;-1.76568807243671;1.11094339593087
ROI4;ElChazli-Dec-2021_35.im;4;2354.286;17862.86;924.2856;50740;12.85714;115.7143;61238.57;0.05174344;0.00208621;0.8830867;1096;35518;1;14;0.2616284;0.5771617;135;246;-14955;15192;1565.714;0.03085759;0.0009463594;1.785387;647;12504;1;72_13C;Replicate August;Lm_35;110122;E;260122;B2;72;13C;Wkb2;2.73712823906239;1741.89487863824;2.99338997647561
ROI4;ElChazli-Dec-2021_38.im;4;2050.435;19933.91;713.0435;52356.52;3.478261;121.7391;46451.3;0.03577037;0.001271301;1.082978;1272;60210;1;23;0.4298181;0.7397711;222;184;-14687;15010;1106.087;0.02112606;0.0005985695;0.7933338;820;22924;1;72_13C;Replicate August;Lm_38;110122;E;260122;B2;72;13C;Wkb2;1.88384000513627;877.185992807739;2.06889836105448
ROI4;ElChazli-Dec-2021_39.im;4;1278.095;16040.95;360;49165.71;3.809524;80.95238;39949.53;0.02244256;0.001167202;1.353003;595;51624;1;21;0.3924426;0.7068758;127;26;-11944;14569;566.6667;0.01152565;0.0004752206;0.6362251;378;16843;1;72_12C;Replicate August;Lm_39;110122;E;260122;B2;72;12C;Wkb2;1.03009679235671;24.1279603487126;1.13943217195972
ROI4;ElChazli-Dec-2021_40.im;4;310.3226;13924.84;318.3871;31280.97;4.193548;102.2581;21791.61;0.02286469;0.0007360644;0.8211285;1088;96971;1;62;0.5908051;0.8673156;56;179;2613;15696;350.9677;0.01121985;0.0003420545;1.011188;987;43167;1;48_12C;Replicate August;Lm_40;160222;F;170222;B2;48;12C;Wkb2;0.995177493431918;-3.04433191026088;1.10953588530873
ROI4;ElChazli-Dec-2021_41.im;4;460.4878;13928.29;281.4634;31133.17;5.853659;92.19512;22808.29;0.02020803;0.0008497292;1.337603;743;63823;1;41;0.3906937;0.705299;187;120;2618;15708;362.439;0.01164157;0.0004295666;0.5433494;577;28553;1;48_12C;Replicate August;Lm_41;160222;F;170222;B2;48;12C;Wkb2;1.03058677096262;34.4281961847499;1.15076041234827
ROI4;ElChazli-Dec-2021_42.im;4;219.5122;28227.81;2394.146;29009.76;9.268292;204.8781;27280;0.08481518;0.001260954;0.5804412;3243;59470;1;41;0.3906937;0.705299;114;165;-314;14261;1581.951;0.0545317;0.0009833438;0.7076188;4908;57867;1;48_13C;Replicate August;Lm_42;160222;F;170222;B2;48;13C;Wkb2;4.82167093585954;3845.491464286;5.17117528993393
ROI4;ElChazli-Dec-2021_43.im;4;266.383;39543.41;3592.766;34473.62;38.29787;482.9787;23024.26;0.09085626;0.001032738;2.234463;4209;81013;1;47;0.4478684;0.7551448;202;230;-320;14270;1791.064;0.05195462;0.0008213594;0.7250178;8443;92927;1;48_13C;Replicate August;Lm_43;160222;F;170222;B2;48;13C;Wkb2;4.58776645532734;3616.50136966613;4.93886559165937
ROI4;ElChazli-Dec-2021_5.im;4;801.6471;15142.35;1263.765;44712.47;2.117647;45.41176;37803.77;0.08345894;0.001185363;2.450334;10407;190028;1;85;0.8099747;1.015525;113;95;-405;14206;2448.706;0.05476561;0.0005513446;1.159684;5371;64355;1;48_13C;Replicate August;Lm_5;91221;B;221221;B3;48;13C;Wkb2;4.84816596805106;3866.27586874086;5.19220725115082
ROI4;ElChazli-Dec-2021_6.im;4;889.75;15922.25;640;48525.5;01.mai;61.75;43469;0.04019532;0.0008102388;0.4067164;4270;194102;1;80;0.7623292;0.9852043;196;84;-14920;15107;1067.5;0.02199874;0.0003403369;0.7985678;2560;63689;1;72_13C;Replicate August;Lm_6;91221;B;221221;B3;72;13C;Wkb2;1.94508188821681;954.729210625139;2.15252152521525
ROI4;ElChazli-Dec-2021_7.im;4;1376.97;15053.94;598.4849;56743.03;3.333333;77.87878;1075.758;0.03975603;0.0009121897;0.9980161;4191;187252;1;60;0.5717469;0.853212;12;109;-14923;15089;1270;0.0223816;0.0003495738;0.6132599;1975;49678;1;72_13C;Replicate August;Lm_7;91221;B;221221;B3;72;13C;Wkb2;1.99931931527762;988.748778363107;2.18916336554047
ROI4;ElChazli-Dec-2021_8.im;4;771.875;14535.8;772.4432;51808.67;0.9943182;95.88068;1078.267;0.05314076;0.0007395225;1.346531;11163;364733;1;128;1.219727;1.246196;18;185;-14944;15180;1585.653;0.03060595;0.0002940774;0.9708482;5438;102332;1;72_13C;Replicate August;Lm_8;91221;B;221221;B3;72;13C;Wkb2;2.7343024819245;1719.53504991343;2.96970335217098
ROI4;ElChazli-Dec-2021_9.im;4;1030.256;13329.23;297.9487;50433.84;1.538462;58.97436;37690.77;0.02235303;0.0009376674;0.5414881;1089;98346;1;39;0.3716355;0.6878815;6;111;-11992;14521;558.4615;0.01107315;0.0003374027;0.6379173;581;25992;1;72_12C;Replicate August;Lm_9;91221;B;231221;B3;72;12C;Wkb2;0.985851227779029;-16.0795682555565;1.0951878687021
ROI5;ElChazli-Dec-2021_10.im;5;1372.571;15974.86;636.5714;57246.86;3.428571;75.42857;42926.86;0.03984833;0.001217454;1.231207;2239;100182;1;35;0.333519;0.6516514;135;53;-14688;14927;1279.429;0.02234932;0.0004775699;0.6770138;1114;27956;1;72_13C;Replicate August;Lm_10;91221;B;231221;B4;72;13C;Wkb2;1.98800754665289;985.880493228641;2.18607573085661
ROI5;ElChazli-Dec-2021_11.im;5;1030.357;16792.86;670.3571;51364.64;1.785714;80;46845;0.03991918;0.0009396137;1.318558;3176;143821;1;56;0.5336304;0.8242811;80;194;-14663;14952;1134.286;0.02208301;0.0003961513;0.9194044;1877;47020;1;72_13C;Replicate August;Lm_11;91221;B;231221;B4;72;13C;Wkb2;1.95897795740513;962.217140869298;2.1605889613818
ROI5;ElChazli-Dec-2021_12.im;5;1123.784;17282.16;669.1892;53653.52;0.5405406;68.10811;43097.3;0.03872138;0.001121605;1.274402;2344;99259;1;37;0.3525772;0.6700114;105;216;-14665;14954;1267.027;0.02361499;0.0004934887;0.838133;1238;31972;1;72_13C;Replicate August;Lm_12;91221;B;231221;B4;72;13C;Wkb2;2.06591238743113;1098.34339428624;2.30701817299817
ROI5;ElChazli-Dec-2021_13.im;5;774.0298;15915.82;345.0746;41884.48;2.985075;85.97015;41630.15;0.02168123;0.0006445592;1.829494;1556;140313;1;67;0.6384507;0.90161;121;116;-11992;14532;464.4776;0.01108949;0.0002826843;0.7540919;1156;53318;1;72_12C;Replicate August;Lm_13;101221;C;231221;B4;72;12C;Wkb2;1.00193439151145;-14.6276544049625;1.09678638229339
ROI5;ElChazli-Dec-2021_20.im;5;1216.97;11024.85;248.4848;56926.67;2.424242;73.93939;38823.64;0.02253862;0.001125577;1.695189;1075;93929;1;33;0.3144608;0.632759;176;25;-11947;14574;651.5151;0.01144481;0.0003510554;0.8674814;410;18191;1;72_12C;Replicate August;Lm_20;101221;C;241221;B4;72;12C;Wkb2;1.05529389201061;16.9448076141951;1.13153114998062
ROI5;ElChazli-Dec-2021_35.im;5;2806;18916;762;56383;7;102;61387;0.04028336;0.001488415;1.153994;1274;56383;1;20;0.3737548;0.6898401;148;247;-14955;15193;1274;0.02259546;0.0006401599;0.915328;762;18916;1;72_13C;Replicate August;Lm_35;110122;E;260122;B3;72;13C;Wkb2;2.02956757931725;1007.75161166103;2.20961895346619
ROI5;ElChazli-Dec-2021_38.im;5;1921.25;20304.38;722.5;51395.63;mars.75;95.625;47436.88;0.03558346;0.00106503;0.6175049;1755;82233;1;32;0.5980077;0.8725864;207;192;-14688;15008;1096.875;0.0213418;0.0005148468;0.9223457;1156;32487;1;72_13C;Replicate August;Lm_38;110122;E;260122;B3;72;13C;Wkb2;1.90834971180448;896.355876169253;2.08958402728161
ROI5;ElChazli-Dec-2021_39.im;5;2093.333;14655.24;286.6667;50456.19;6.666667;77.14286;39772.38;0.0195607;0.001138433;1.418993;574;52979;1;21;0.3924426;0.7068758;250;10;-11941;14586;546.6667;0.01083448;0.0004546657;0.5577168;301;15388;1;72_12C;Replicate August;Lm_39;110122;E;260122;B3;72;12C;Wkb2;0.968745613164485;-37.2869292544091;1.07183545269926
ROI5;ElChazli-Dec-2021_40.im;5;259.0909;14173.64;310.9091;29823.64;2.272727;72.27273;23660.91;0.02193573;0.0008478829;1.600649;743;65612;1;44;0.419281;0.7306471;153;103;2620;15705;337.7273;0.01132415;0.0004177883;1.133791;684;31182;1;48_12C;Replicate August;Lm_40;160222;F;170222;B3;48;12C;Wkb2;1.00348343441289;6.22339236250213;1.11973471441396
ROI5;ElChazli-Dec-2021_41.im;5;458.9655;14743.79;318.9655;33578.62;4.137931;98.62069;22288.28;0.02163388;0.0007189708;1.604097;1155;97378;1;58;0.5526887;0.8388713;122;154;2615;15702;398.2758;0.011861;0.0003510675;0.8525201;925;42757;1;48_12C;Replicate August;Lm_41;160222;F;170222;B3;48;12C;Wkb2;1.05092759134591;53.9259597242741;1.17219596029135
ROI5;ElChazli-Dec-2021_42.im;5;251.3513;29087.84;2364.595;32368.38;12.97297;205.1351;26166.76;0.08129152;0.0009037274;1.55147;5728;119763;1;74;0.7051545;0.9475392;78;174;-315;14258;1548.108;0.04782779;0.0006468801;0.9313112;8749;107625;1;48_13C;Replicate August;Lm_42;160222;F;170222;B3;48;13C;Wkb2;4.24511407662505;3249.80604310269;4.56447023642306
